ProductId,ItemId,Brand,Category,ProductType,Colour,Material,ProductTitle,Image,ImageURL,MainImageId
849,B009IBJQ5M,Pinzon by Amazon.com,Home,HOME,White,Cotton-Blend,"Pinzon Permaloft Zip-Off Waterproof Mattress Pad, California King",B009IBJQ5M.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/e7/e7ccc682.jpg,81-I6qebY1L
850,B00CRMQ8OG,Amazon Essentials,Fineearring,FINEEARRING,Sterling Silver,metal,Amazon Essentials Sterling Silver Twisted Love Knot Stud Earrings,B00CRMQ8OG.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/1c/1c092726.jpg,81Md5gXZGXL
851,B003DQ5B2U,Movian,Table,TABLE,Pine,Pine,"Movian Amazon Brand Corona Nest Of Tables, Solid Pine Wood",B003DQ5B2U.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/89/8912b2af.jpg,81WQCF4xoIL
852,B011NI1KQU,Amazon Collection,Fineearring,FINEEARRING,Rose,metal,Boucles d'oreilles a tige en argent sterling,B011NI1KQU.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/b9/b919d27b.jpg,71QdxVIykBL
853,B00FXW7CMO,Amazon Collection,Finering,FINERING,Platinum Plated Silver,metal,"Platinum-Plated Sterling Silver 7-Stone Ring made with Swarovski Zirconia (2 cttw), Size 6",B00FXW7CMO.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/39/395e5f6b.jpg,71kJtwpH+aL
854,B0851ZLNDR,Movian,Home Furniture And Decor,HOME_FURNITURE_AND_DECOR,White,Wood,Movian GW-TOPIX Coat rack panel 3773,B0851ZLNDR.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/c3/c362dca1.jpg,71SOAXmkg7L
855,B07HSHRZT7,Stone & Beam,Rug,RUG,Unknown Color,Polypropylene,"Amazon Brand - Stone & Beam Southwestern Polypropylene Area Rug, 5' 3"" x 7' 7"", Multi",B07HSHRZT7.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/68/68d850db.jpg,A1Q-kE36L0L
856,B0753M8VJC,Amazon Collection,Finering,FINERING,Azul zafiro,No aplica,"Anillo de plata de ley chapada en platino, con zafiro azul y circonia de Swarovski, 3 piedras halo, Azul zafiro",B0753M8VJC.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/8d/8de6a814.jpg,71ydmyjJf-L
857,B07P5LM3LT,Stone & Beam,Sofa,SOFA,Chocolate,Polyester,"Amazon Brand - Stone & Beam Lauren Down-Filled Oversized Sofa Couch with Hardwood Frame, 89""W, Chocolate",B07P5LM3LT.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/22/2293b089.jpg,71-9KESU6+L
858,B00V3HM6MO,AmazonBasics,Home Bed And Bath,HOME_BED_AND_BATH,Unknown Color,poliestere,AmazonBasics - Protezione Trapuntata e Impermeabile per Materasso,B00V3HM6MO.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/e8/e86eb677.jpg,71CrIY1CHoL
859,B07K9YGPLW,AmazonBasics,Home Bed And Bath,HOME_BED_AND_BATH,Blush Pink,100% Polyester,"AmazonBasics Premium, Easy-Wash Embroidered Hotel Stitch 120 GSM Sheet Set - Queen, Blush Pink",B07K9YGPLW.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/3e/3ef03179.jpg,81Vok2jOIjL
860,B00XBC3O8Y,AmazonBasics,Kitchen,KITCHEN,Carbon Steel,Carbon Steel,AmazonBasics 6-Piece Bakeware Set,B00XBC3O8Y.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/4f/4f654a8e.jpg,81HBCeu7q2L
861,B07T7ZZRLL,Amazon Brand - Solimo,Cellular Phone Case,CELLULAR_PHONE_CASE,Others,Canvas,Amazon Brand - Solimo Designer Gary Canvas 3D Printed Hard Back Case Mobile Cover for Meizu M3 Note,B07T7ZZRLL.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/b9/b9ef3a13.jpg,81SEDwUB36L
862,B00MGSFPBS,Pinzon by Amazon,Home Bed And Bath,HOME_BED_AND_BATH,Blue,100% cotton,"Pinzon Ultrasoft 180TC Fitted Sheets, Blue 135 x 190 x 40 cm",B00MGSFPBS.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/cd/cdefa595.jpg,81duX-6eMDL
863,B07B4YLTP5,Rivet,Rug,RUG,"Blue, Green, Ivory",wool,"Amazon Brand - Rivet Modern Chevron Wool Runner Rug, 2' 6"" x 8', Blue, Green, Ivory",B07B4YLTP5.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/9b/9bbd5c53.jpg,81msm0d8guL
864,B07R3CYQ37,Movian,Chair,CHAIR,Azul,Tela,"Marca Amazon - Movian Scutari - Sofa cama, 77 x 90 x 81, azul oscuro",B07R3CYQ37.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/27/279e7ba1.jpg,61cWzQhGkQL
865,B08FBZV4RR,UMI,Home,HOME,Mustard,cotton,"UMI By Amazon 100% Organic Cotton 1 Fitted Sheet Only, 300 Thread Count Soft Sateen Weave GOTS Certified with 30cm deep Pockets Size -King, Color- Mustard",B08FBZV4RR.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/87/87c11ce5.jpg,71qXvJLzyTL
866,B07P5LKKMW,Rivet,Sofa,SOFA,Caramel,Wood,"Amazon Brand - Rivet Sloane Modern Leather Sofa with Tufted Back, 79.9""W, Caramel",B07P5LKKMW.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/5b/5b620a6c.jpg,718tEH1N8gL
867,B07BWKH16R,Stone & Beam,Sofa,SOFA,Black,stone,"Amazon Brand - Stone & Beam Bradbury Chesterfield Tufted Leather Sofa Couch, 92.9""W, Black",B07BWKH16R.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/d3/d3e3cc9a.jpg,71OCw66IsGL
868,B008EQ9HAQ,Amazon Collection,Finenecklacebraceletanklet,FINENECKLACEBRACELETANKLET,Silver,Metal,"Sterling Silver Cursive Script Initial ""J"" Pendant Necklace, 18""",B008EQ9HAQ.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/be/bea87808.jpg,71I-gOQZTlL
869,B010RLCKVI,AmazonBasics,Kitchen,KITCHEN,Unknown Color,Unknown Material,Amazon Basics getuki Prevention POTS AND PANS SET OF 10,B010RLCKVI.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/8a/8a05751e.jpg,81A9PatoWEL
870,B075ZJGDMN,Rivet,Rug,RUG,Grey and Pink,Polypropylene,"Amazon Brand - Rivet Old World Vintage Persian Runner Rug, 2' 2"" x 7' 6"", Grey and Pink",B075ZJGDMN.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/50/504a8f22.jpg,A1tL4HpqJlL
871,B072WVVDY6,Amazon Brand - Solimo,Kitchen,KITCHEN,Red,Stainless Steel,Amazon Brand - Solimo Thermal Stainless Steel Flask (1000 ml),B072WVVDY6.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/5b/5b220512.jpg,91LFH+ScpLL
872,B0735RHGTB,Stone & Beam,Rug,RUG,Unknown Color,wool,"Amazon Brand - Stone & Beam Swirling Paisley Farmhouse Motif Wool Runner Rug, 2' 6"" x 8', Multi",B0735RHGTB.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/8a/8a18c4d8.jpg,A1E+HZ4tFxL
873,B001DA0KVU,Pinzon,Home Furniture And Decor,HOME_FURNITURE_AND_DECOR,Unknown Color,wool,Pinzon 7'6 X 9'6 Hand-tufted Loft Wool Rug,B001DA0KVU.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/7c/7cf89438.jpg,51V1GLwjA3L
874,B00JXNQTS2,Amazon Collection,Finenecklacebraceletanklet,FINENECKLACEBRACELETANKLET,Green,metal,Green Pearlized Beads and Silver Tone Metal Drops Mom Charm Bracelet,B00JXNQTS2.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/16/161a43a4.jpg,81UONDZ7tDL
875,B07JJ7D6XX,UMI,Home,HOME,Light Grey,Fabric,UMI by Amazon Thermal Insulated Decorative Bedroom Curtains Eyelet Blackout Curtains for Livingroom 55 x 71 Inch Light Grey 2 Panels,B07JJ7D6XX.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/ad/ad703831.jpg,714BSIf6GqL
876,B07YN3ZV2Y,Movian,Home Furniture And Decor,HOME_FURNITURE_AND_DECOR,White,Other,"Amazon Brand - Movian MULTIBOX 9, Bookcase, 108.3 x 33.1 x 108.2 cm, White",B07YN3ZV2Y.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/81/81e00c89.jpg,71-7JEE+sWL
877,B085211LHN,Movian,Home Furniture And Decor,HOME_FURNITURE_AND_DECOR,White,Madera,Movian Wardrobe 1169,B085211LHN.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/52/52c5c87e.jpg,71PoOi7RvBL
878,B073P1J9G1,Stone & Beam,Wall Art,WALL_ART,Multicolor,paper,"Amazon Brand - Stone & Beam Modern Print of 1879 San Francisco Map Wall Art, Black Frame, 32"" x 32""",B073P1J9G1.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/bb/bbd547a3.jpg,A1Bno+BR+wL
879,B07XRY9RRY,Flavia,Shoes,SHOES,Peach,Polyurethane,Flavia Women's Peach Fashion Sandals-5 UK (37 EU) (6 US) (FL/231/PCH),B07XRY9RRY.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/2f/2f85b176.jpg,71XOuPphh6L
880,B08BVLRHG8,Amazon Brand - Solimo,Kitchen,KITCHEN,Stainless Steel,Stainless Steel,"Amazon Brand - Solimo Tri-ply Stainless Steel Induction Base Sauce Pot with Steel lid (20cm, 3.1L)",B08BVLRHG8.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/cb/cbc352e3.jpg,71b9zm2O-fL
881,B075YNHLD5,Rivet,Wall Art,WALL_ART,Multicolor,Wood,"Amazon Brand - Rivet Modern Hawaiian Waves Print, Wood-Tone Frame, 30"" x 42""",B075YNHLD5.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/a6/a61a0d54.jpg,91epiHY1mwL
882,B087WCVQVL,Amazon+Collection,Fineearring,FINEEARRING,White,not-applicable,Sterling Silver Round Checkerboard Cut Gemstone Leverback Earrings (8mm),B087WCVQVL.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/c8/c84dfd10.jpg,71fSqanLOJL
883,B0853X8GJG,Amazon Brand - Solimo,Cellular Phone Case,CELLULAR_PHONE_CASE,Multicolor,Silicone,Amazon Brand - Solimo Designer Stars UV Printed Soft Back Case Mobile Cover for InFocus Vision 3 Pro,B0853X8GJG.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/72/727820f4.jpg,71JogmDzrHL
884,B07QCMB9XM,Ravenna Home,Home Furniture And Decor,HOME_FURNITURE_AND_DECOR,Fog,Hardwood,"Amazon Brand - Ravenna Home Tamarack Rocker Recliner, 34""W, Fog",B07QCMB9XM.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/ce/cea2f9f4.jpg,91JmY4hU2zL
885,B07VNL9S1P,Movian,Home Furniture And Decor,HOME_FURNITURE_AND_DECOR,Gris/Marron (Tissu Sawana),Fabric,"Marque Amazon - Movian Galga - Chaise d'appoint en tissu Sawana, 90 x 105 x 98 cm (longueur x largeur x hauteur), Gris/marron",B07VNL9S1P.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/39/39b2ebc2.jpg,91PX3IZSdEL
886,B07SMJY29H,Alkove,Table,TABLE,Quercia Selvatica,Quercia,"Marchio Amazon - Alkove Hayes - Tavolo da pranzo fisso classico, 130 x 90 x 77 cm, quercia silvestre",B07SMJY29H.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/ec/ec5fdb3f.jpg,71rYJhm4VeL
887,B07HSN8783,Stone & Beam,Rug,RUG,Navy,stone,"Amazon Brand - Stone & Beam Traditional Passionate Area Rug, 6' 7"" x 9' 6"", Navy",B07HSN8783.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/5e/5e52888b.jpg,A18eFHkbVDL
888,B07VB3TJF3,AmazonBasics,Kitchen,KITCHEN,Teal Pattern,Foam,"AmazonBasics Anti-Fatigue Standing Comfort Mat for Home Kitchen and Office - 20"" x 30"", Teal Pattern",B07VB3TJF3.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/86/86238be3.jpg,91ju2QsMA2L
889,B00PE3ZP9Y,Amazon Collection,Fineearring,FINEEARRING,Yellow Gold,metal,"18k Yellow Gold Plated Sterling Silver Round Tube Hoop Earrings (2 mm, 1.6"" Diameter)",B00PE3ZP9Y.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/2b/2b45bd41.jpg,71nz4x3OTML
890,B00MPOC9C6,Pinzon by Amazon,Home Bed And Bath,HOME_BED_AND_BATH,Light Gray,100% cotton,"Pinzon Hemstitch 400TC Egyptian Cotton sateen fitted sheets, Light Gray 90 x 200 x 30 cm",B00MPOC9C6.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/b6/b6f7f079.jpg,910EuRVTK9L
891,B01ERB5Y2Q,Amazon Collection,Finering,FINERING,Clear,Metal,"Amazon CollectionPlatinum Plated Sterling Silver Swarovski Zirconia Pear 3-stone Ring, Size 6",B01ERB5Y2Q.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/68/68573a6c.jpg,61kK93YZEmL
892,B013URKH16,Amazon Collection,Finenecklacebraceletanklet,FINENECKLACEBRACELETANKLET,Curb,Metal,"Sterling Silver Interlocking Geometric Link Bracelet, 8""",B013URKH16.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/98/98e7c361.jpg,81Kx9Qmdx5L
893,B073P5QJ5C,Stone & Beam,Wall Art,WALL_ART,Multicolor,Wood,"Amazon Brand - Stone & Beam Modern Turquoise and Orange Palm Print in Black Frame Wall Art, 20"" x 20""",B073P5QJ5C.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/30/300958b4.jpg,913ZycDcTeL
894,B00Q8I4FY0,AmazonBasics,Home Bed And Bath,HOME_BED_AND_BATH,Smokey Blue,100% Cotton,"AmazonBasics 400TC Cotton Sateen Wrinkle Free Flat Sheet, Smokey Blue 180 x 290 + 10 cm",B00Q8I4FY0.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/e2/e2c09978.jpg,611MahltRvL
895,B00FXW6PNQ,Amazon Collection,Fineearring,FINEEARRING,Placcato In Platino.,METALLO,"Orecchini a monachella in argento sterling placcato platino con zirconi Swarovski,Placcato in platino.",B00FXW6PNQ.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/0c/0c1650fb.jpg,71BZ46CqQqL
896,B07DBDYYBX,Ravenna Home,Sofa,SOFA,Pewter,Polyester,"Amazon Brand - Ravenna Home Kristopher Modern Flared Arm Sofa, 88""W, Pewter",B07DBDYYBX.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/cf/cf0667e3.jpg,91VmWtM0pzL
897,B07FM21KL2,Amazon Brand - Solimo,Home Bed And Bath,HOME_BED_AND_BATH,Spanish Yellow,Polyester,"Amazon Brand - Solimo Magnolia Window Curtain, 5 feet - Set of 1 (Spanish Yellow)",B07FM21KL2.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/f0/f0e292cf.jpg,81sWJmFEgLL
898,B07PBBW455,Amazon Brand - Solimo,Kitchen,KITCHEN,Silver,Plastic,"Amazon Brand - Solimo Baking Set (4 pieces, scraper, brush, whisk, cake mould)",B07PBBW455.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/bf/bf7ea4ff.jpg,71sO0qRyXDL
899,B08F9TPLKC,UMI,Home,HOME,Hellblau,100% Seide,"UMI Seide Kissenbezug 40x80cm aus 100% Maulbeerseide 25 Momme Kissenhulle fur Haar und Haut Hellblau, Reiverschluss, Doppelseitiger Seide",B08F9TPLKC.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/5d/5d3e4556.jpg,312PDN7oOuL
900,B01M09BSPN,Amazon Collection,Finenecklacebraceletanklet,FINENECKLACEBRACELETANKLET,COW,rhinestone,"Amazon CollectionBaAado en plata vidrio Critter collar con colgante, 18"" Una talla",B01M09BSPN.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/8e/8e12674e.jpg,81h7YfSNRCL
901,B07W6RW3G4,Amazon Brand - Solimo,Kitchen,KITCHEN,Silver,Aluminium,"(Renewed) Amazon Brand - Solimo Aluminium Outer Lid Pressure Cooker (5L, ISI Certified, Gas Stove compatible)",B07W6RW3G4.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/81/81fdf8b5.jpg,51Mcgjj6jxL
902,B073P1H7F9,Rivet,Wall Art,WALL_ART,Multi,canvas,"Amazon Brand - Rivet Wooden Dock at the Lake Canvas Print, 36"" x 24""",B073P1H7F9.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/f8/f8f58a16.jpg,91GbMmHZY-L
903,B07Y58XQ3Z,AmazonBasics,Kitchen,KITCHEN,Grau,Unknown Material,"AmazonBasics - Kochgeschirr-Set mit Antihaftbeschichtung, harteloxiert, Topfe, Pfannen und Zubehor, 12-teiliges Set, Grau",B07Y58XQ3Z.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/6b/6b0d0704.jpg,71wS98WrptL
904,B005INCFNY,Amazon Collection,Finenecklacebraceletanklet,FINENECKLACEBRACELETANKLET,Gold,Gold Filled,"14k Gold-Filled Round Miraculous Medal Madonna Pendant Necklace with Stainless Steel Chain, 20""",B005INCFNY.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/08/088d9b51.jpg,719tKxzghuL
905,B07KNKMXGM,UMI,Home,HOME,Krmz,Stoff,"UMI Essentials Set of 2 Curtains with Ruffle Tape, 183x117",B07KNKMXGM.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/ed/edd50e89.jpg,71RYB8o5LSL
906,B00FXW7SDC,Amazon Collection,Finering,FINERING,Platinum Plated Silver,Metal,"Platinum-Plated Sterling Silver Round-Cut 5-Stone Ring made with Swarovski Zirconia (2 cttw), Size 6",B00FXW7SDC.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/f8/f8639ac0.jpg,71888wKX97L
907,B084XMKQP5,Amazon Brand - Solimo,Sofa,SOFA,Blue,Fabric,Amazon Brand - Solimo Victoria Fabric 3 seater sofa (Grey & Blue),B084XMKQP5.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/4d/4db24dc9.jpg,91RFkvyseZL
908,B07YW719HN,Amazon Brand - Solimo,Kitchen,KITCHEN,Multicolor,Plastic,"(Renewed) Amazon Brand - Solimo Plastic Storage Container Set, 300ml, Set of 4, Multicolour",B07YW719HN.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/a4/a49e314a.jpg,51ADU3kx2fL
909,B07DJMK7QB,Amazon Brand - Symbol,Shoes,SHOES,Khaki,Canvas,Amazon Brand - Symbol Men's Khaki Canvas Sneakers-7 UK/India (41 EU) (AZ-GI-370B),B07DJMK7QB.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/2d/2d9cdd04.jpg,81RIRIMreOL
910,B0853X562X,Amazon Brand - Solimo,Cellular Phone Case,CELLULAR_PHONE_CASE,Multicolor,Plastic,Amazon Brand - Solimo Designer Couple Sitting On Moon 3D Printed Hard Back Case Mobile Cover for Poco X2 / Mi Redmi K30,B0853X562X.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/f5/f557cc8a.jpg,71xKNjMqjLL
911,B075X2X4SV,Stone & Beam,Home Furniture And Decor,HOME_FURNITURE_AND_DECOR,Smoky Teal,stone,"Amazon Brand - Stone & Beam Leila Ottoman, 34""W, Smoky Teal",B075X2X4SV.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/b5/b53c63f8.jpg,A1L1Pv2sKGL
912,B07QGFZ28Y,Ravenna Home,Table,TABLE,White,Medium-density Fibreboard,"Amazon Brand - Ravenna Home Mid-Century Side Table with Carved Legs, 18.11""W",B07QGFZ28Y.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/e1/e153247c.jpg,71EjNiK2PoL
913,B0735W3QK6,Rivet,Rug,RUG,Unknown Color,wool,"Amazon Brand - Rivet Sunset Textured Geo Pattern Wool Area Rug, 8 x 10 Foot, Pink",B0735W3QK6.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/5f/5f491e9a.jpg,A1jsdXk7diL
914,B07BHH92LH,Amazon Basics,Home Furniture And Decor,HOME_FURNITURE_AND_DECOR,Black,Metal,"Amazon Basics Steel Mattress Foundation/Box Spring - 9-Inch, King",B07BHH92LH.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/77/77e5cc0e.jpg,91OSggzZTtL
915,B07W9K177Q,UMI,Home,HOME,Unknown Color,Edelstahl,UMI. LP150-BS Handheld Shower Head with Extra Long Hose and Holder Brushed Stainless Steel,B07W9K177Q.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/9e/9ed337b4.jpg,41xX-AVBuKL
916,B07P5SX1XJ,Amazon Brand - Solimo,Kitchen,KITCHEN,Black,Aluminium,Amazon Brand - Solimo Hard Anodized Tadka Pan (9.4cm),B07P5SX1XJ.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/3a/3ab2b8d0.jpg,61PNMDAWJXL
917,B0719STKS9,Stone & Beam,Rug,RUG,Natural,Jute,"Amazon Brand - Stone & Beam Contemporary Border Jute Rug, 2'6"" x 8', Natural",B0719STKS9.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/84/84b21542.jpg,B1RM4BaxJIS
918,B07DTLWBRK,Amazon Basics,Home Bed And Bath,HOME_BED_AND_BATH,Navy Blue,100% Polyester,"Amazon Basics Deluxe Microfiber Duvet Cover Set - Twin/Twin XL, Navy Blue",B07DTLWBRK.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/44/44ce7122.jpg,51zboj55JqL
919,B07BWK59TF,Stone & Beam,Sofa,SOFA,Sand,fabric,"Amazon Brand - Stone & Beam Kristin Round Arm Performance Fabric Reversible Chaise Sofa Couch, 96.5""W, Sand",B07BWK59TF.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/98/98c5ed44.jpg,81jwxzASmKL
920,B00CIOBY92,Amazon Collection,Finenecklacebraceletanklet,FINENECKLACEBRACELETANKLET,Argento,METALLO,"Collana con ciondolo rotondo in argento Sterling, 18,64 cm",B00CIOBY92.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/dd/ddc23801.jpg,612luh1LKmL
921,B07TTCK71R,Amazon Basics,Rug,RUG,Grey/White,Polypropylene,"Amazon Basics - 5'X8' Plush Diamond Trellis Shag Rug, Grey",B07TTCK71R.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/c2/c2e2be03.jpg,A1lwYTCP0bL
922,B07W7V38B1,Rivet,Home Furniture And Decor,HOME_FURNITURE_AND_DECOR,Light Grey,"fabric , Wood frame","Rivet Ava Mid-Century Modern Ottoman, 25.6"" W, Light Grey (Renewed)",B07W7V38B1.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/58/58498433.jpg,91Lrl3K5S3L
923,B07YG9ZRBR,Amazon Brand - Solimo,Home,HOME,Black,Fabric,"Amazon Brand - Solimo Fabric Shoe Cover with Zipper, Waves, Set of 6",B07YG9ZRBR.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/6c/6c6b5037.jpg,71qToOnlPyL
924,B07K6M4RTN,AmazonBasics,Home,HOME,Light Dusty Blue,Others,"AmazonBasics Comforter Set - Soft, Easy-Wash Microfiber - Twin/Twin XL, Light Dusty Blue",B07K6M4RTN.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/d6/d66656c2.jpg,71AQl3Uls4L
925,B008BS2678,Amazon Collection,Fineearring,FINEEARRING,White,metal,Sterling Silver Hoop Earrings set with Swarovski Crystals,B008BS2678.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/b9/b98c307a.jpg,91LaWva4A8L
926,B07WJB7L47,Amazon Brand - Solimo,Kitchen,KITCHEN,Silver,Aluminium,"(Renewed) Amazon Brand - Solimo Aluminium Outer Lid Pressure Cooker (3L, ISI Certified, Gas Stove compatible)",B07WJB7L47.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/60/601527c4.jpg,61kEPHXpugL
927,B07K3J4P7S,AmazonBasics,Home,HOME,Unknown Color,Vidrio,"AmazonBasics - Marcos de fotos con 3 huecos, 122 x 183 cm, colas, laton",B07K3J4P7S.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/74/74a75812.jpg,81QXyzmixtL
928,B00E1GY71C,Amazon Essentials,Fineearring,FINEEARRING,Rose Gold Plated Stainless Steel,metal,Amazon Essentials Rose Gold Plated Stainless Steel Flattened Hoop Earrings (40mm),B00E1GY71C.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/b6/b636fe73.jpg,71ALDfUvdvL
929,B01N3MBCKT,Ameriwood Home,Table,TABLE,Grey,MDF and laminated particleboard,"Ameriwood Home Carver End Table, Gray/Sonoma Oak",B01N3MBCKT.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/39/39fe8d72.jpg,91Y-oQZAKUL
930,B07HSF58JY,Rivet,Rug,RUG,Unknown Color,Nylon,"Amazon Brand - Rivet Modern Distressed Persian Area Rug, 5 x 8 Foot, Blue Multicolor",B07HSF58JY.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/72/7298f855.jpg,A1XJovm+-TL
931,B00JNC6RIK,Amazon Collection,Fineearring,FINEEARRING,citrine,Metal,10k White Gold Round Checkerboard Cut Citrine Stud Earrings (6mm),B00JNC6RIK.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/46/46cbce03.jpg,71nPUg0eDOL
932,B07RKK356F,Amazon Brand - Solimo,Sofa,SOFA,Seal Brown,Fabric,Amazon Brand - Solimo Royale 2 Seater Fabric Sofa (Brown),B07RKK356F.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/11/11c71bba.jpg,911WP94hwHL
933,B0853X1KTC,Amazon Brand - Solimo,Cellular Phone Case,CELLULAR_PHONE_CASE,Multicolor,Silicone,Amazon Brand - Solimo Designer Babby Kitty UV Printed Soft Back Case Mobile Cover for Comio C2,B0853X1KTC.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/c8/c80030ca.jpg,61u++ndwN9L
934,B01EI3Y1OU,Amazon Collection,Finering,FINERING,White,cobalt,"Cobalt 6mm Comfort-Fit Wedding Band with Satin Center and High Polish Round Edges, Size 14",B01EI3Y1OU.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/a5/a5741ac8.jpg,61-QzmPuXPL
935,B073NZSG22,Rivet,Wall Art,WALL_ART,Red,canvas,"Amazon Brand - Rivet Seattle Sun Flare in Black and White Canvas Print of Seattle, 60"" x 20""",B073NZSG22.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/99/99952389.jpg,91v+k9hO2iL
